,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
545799,2020-12-29 12:43:56,6011366578560244,fraud_Waters-Cruickshank,health_fitness,4.44,Adam,Stark,M,0912 Mark Fields Apt. 080,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,1997-07-01,9b8b450f46967d25e7fe4f20f713b8bb,1388321036,39.909490000000005,-77.43164200000001,0
127465,2020-08-04 13:07:26,4178097073221156,fraud_Swift PLC,kids_pets,1.74,Jill,Flores,F,639 Cruz Islands,Baroda,MI,49101,41.9488,-86.4913,3104,"Horticulturist, commercial",1981-03-29,5ff15edb4696ad000b13819fc873211d,1375621646,41.701611,-86.777755,0
122895,2020-08-03 09:31:10,4586260469584,fraud_Corwin-Collins,gas_transport,43.77,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,739107e472419ae610b0f8b4b356209d,1375522270,40.15926,-96.184,0
29426,2020-06-30 20:49:04,4045036286570100739,fraud_Streich Ltd,home,75.14,Bianca,Scott,F,9588 Cox Rapid Apt. 257,Atglen,PA,19310,39.9458,-75.9703,3066,Product manager,1928-07-15,ed15b5086e356b9b55b57829f661f7a3,1372625344,39.42333,-75.169477,0
154209,2020-08-14 10:35:32,3536918668124647,fraud_Emmerich-Luettgen,grocery_net,87.98,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,1955-06-12,c55142d8ffba89e0c78cacd12c20704c,1376476532,37.742343,-122.12506100000002,0
103907,2020-07-27 14:32:18,30238755902988,fraud_Bode-Rempel,kids_pets,79.6,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,d516637b40aa8630f07097316565fca1,1374935538,31.432206,-97.590471,0
205572,2020-09-01 07:02:51,213112402583773,fraud_Emard Inc,gas_transport,73.27,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,19c6cff8681c194c6c52adab0131b69f,1378018971,33.595833,-81.701484,0
230898,2020-09-12 15:04:29,4512828414983801773,"fraud_Kihn, Abernathy and Douglas",shopping_net,4.0,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,8ab6f66ebaaed09a8d4d322e34a272ca,1378998269,39.236592,-80.590038,0
53750,2020-07-09 21:04:00,3582754887089201,"fraud_Hills, Hegmann and Schaefer",health_fitness,107.83,Terrance,Mckinney,M,42965 Christopher Fords Suite 659,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,1966-08-08,42b3008f7cfd56a5761d26798141ccf8,1373403840,34.242234,-94.376734,0
552428,2020-12-31 00:43:05,4446368897795790,fraud_Gislason Group,misc_pos,34.2,Ryan,Joseph,M,8850 Jessica Center,Atlantic,VA,23303,37.9073,-75.5089,741,"Geologist, engineering",1986-08-17,1a7a7424eb116994546edfba8808bb9f,1388450585,38.177627,-74.61784399999999,0
265195,2020-09-27 14:59:25,4979422371139333,fraud_Jakubowski Group,food_dining,73.85,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,1935-02-10,158601d54e66231d99b9b6f83a0bd844,1380293965,41.920406,-99.726672,0
527339,2020-12-25 22:00:23,5130484058948421,fraud_Rippin-VonRueden,health_fitness,75.65,Ronald,White,M,25713 Hamilton Grove Apt. 903,Beaverdam,OH,45808,40.8314,-83.9758,349,Museum/gallery conservator,1978-12-25,ce5965050d84d13872fed188ff84c1aa,1388008823,41.287759,-83.843795,0
291964,2020-10-09 01:53:33,4452366298769043,"fraud_Zieme, Bode and Dooley",gas_transport,64.68,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1978-03-04,e6e0f4eb0c82a110689210128f01903b,1381283613,32.657954,-96.641772,0
428890,2020-12-04 01:59:45,375534208663984,fraud_Bauch-Raynor,grocery_pos,99.8,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,b79639e17de9c449636e59a220b0efa5,1386122385,38.112208,-80.10141999999999,0
499297,2020-12-19 20:53:43,561942763351,fraud_Kassulke PLC,shopping_net,154.08,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,1986-03-14,ab363a390013bd9b0a747f685e5405ce,1387486423,39.757290000000005,-76.674937,0
500058,2020-12-20 01:18:27,4384910379661778,fraud_Johns Inc,entertainment,14.08,Michelle,Russell,F,55505 Christy Via,Hawley,MN,56549,46.9777,-96.4092,4508,Naval architect,1949-04-24,94652691d4f6f961f2ac3a0b0a307dac,1387502307,47.39925,-95.740911,0
349818,2020-11-03 04:18:34,340951438290556,fraud_Wolf Inc,grocery_pos,216.91,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,5ec1f81f8f9272d6fd451ab1731e50e9,1383452314,41.948698,-74.712267,0
302636,2020-10-13 10:40:38,3562264947797243,fraud_Thiel PLC,misc_pos,1.08,Anthony,Velasquez,M,609 Hunt Grove,Saint Francis,KY,40062,37.6047,-85.4251,301,"Research officer, political party",1967-03-17,d8cec86d5a6e717fbd0d786409f56614,1381660838,38.419003,-86.191684,0
